Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, annual crop, UG",,3.53766326,m2a,,3.54E-15,m2a
Raw,(unspecified),"Occupation, annual crop, UM",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, UN-OCEANIA",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, US",,1.11158722,m2a,,1.11E-15,m2a
Raw,(unspecified),"Occupation, annual crop, UY",,1.32851583,m2a,,1.33E-15,m2a
Raw,(unspecified),"Occupation, annual crop, UZ",,3.84528009,m2a,,3.85E-16,m2a
Raw,(unspecified),"Occupation, annual crop, VA",,4.71666142,m2a,,4.72E-15,m2a
Raw,(unspecified),"Occupation, annual crop, VC",,2.29513503,m2a,,2.30E-13,m2a
Raw,(unspecified),"Occupation, annual crop, VE",,7.63160421,m2a,,7.63E-15,m2a
Raw,(unspecified),"Occupation, annual crop, VG",,1.69811185,m2a,,1.70E-13,m2a
Raw,(unspecified),"Occupation, annual crop, VI",,2.71382291,m2a,,2.71E-13,m2a
Raw,(unspecified),"Occupation, annual crop, VN",,6.40163247,m2a,,6.40E-15,m2a
Raw,(unspecified),"Occupation, annual crop, VU",,3.14541309,m2a,,3.15E-14,m2a
Raw,(unspecified),"Occupation, annual crop, WF",,1.24008324,m2a,,1.24E-13,m2a
Raw,(unspecified),"Occupation, annual crop, WS",,2.60983743,m2a,,2.61E-13,m2a
Raw,(unspecified),"Occupation, annual crop, YE",,1.13210992,m2a,,1.13E-15,m2a
Raw,(unspecified),"Occupation, annual crop, YT",,2.46254644,m2a,,2.46E-13,m2a
Raw,(unspecified),"Occupation, annual crop, ZA",,7.96415775,m2a,,7.96E-15,m2a
Raw,(unspecified),"Occupation, annual crop, ZM",,9.38797138,m2a,,9.39E-16,m2a
Raw,(unspecified),"Occupation, annual crop, ZW",,1.14189425,m2a,,1.14E-15,m2a
Raw,(unspecified),"Occupation, artificial areas",,2.76155314,m2a,,2.76E-15,m2a
Raw,(unspecified),"Occupation, construction site",,2.76155314,m2a,,2.76E-15,m2a
Raw,(unspecified),"Occupation, cropland fallow (non-use)",,2.18002030,m2a,,2.18E-15,m2a
Raw,(unspecified),"Occupation, dump site",,2.76155314,m2a,,2.76E-15,m2a
Raw,(unspecified),"Occupation, dump site, benthos",,2.76155314,m2a,,2.76E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive",,1.76660798,m2a,,1.77E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AD",,4.85316117,m2a,,4.85316E-15,m2a
Raw,(unspecified),"Occupation, forest, extensive, AE",,1.28326149,m2a,,1.28326E-16,m2a
Raw,(unspecified),"Occupation, forest, extensive, AF",,3.85829944,m2a,,3.8583E-16,m2a
Raw,(unspecified),"Occupation, forest, extensive, AG",,7.41502069,m2a,,7.41502E-14,m2a
Raw,(unspecified),"Occupation, forest, extensive, AI",,4.91648029,m2a,,4.91648E-14,m2a
Raw,(unspecified),"Occupation, forest, extensive, AL",,5.01050415,m2a,,5.0105E-15,m2a
